shapeid,xp,yp,Traffic,Train,Industrial
360.0,540,771,74,0,0
360.0,537,768,74,0,0
361.0,1238,579,75,0,0
361.0,1234,587,75,0,0
362.0,1234,587,75,0,0
362.0,1232,592,75,0,0
362.0,1230,597,75,0,0
362.0,1230,597,75,0,0
363.0,535,774,67,0,0
363.0,537,768,67,0,0
364.0,534,574,75,60,0
364.0,534,573,75,60,0
364.0,526,569,75,60,0
364.0,525,570,75,60,0
365.0,1277,529,75,0,0
365.0,1282,523,75,0,0
366.0,1282,523,75,0,0
366.0,1286,519,75,0,0
367.0,534,574,75,60,0
367.0,533,574,75,60,0
367.0,526,571,75,60,0
367.0,525,570,75,60,0
368.0,1255,540,66,0,0
368.0,1261,547,66,0,0
369.0,1262,527,66,0,0
369.0,1258,522,66,0,0
370.0,1308,494,75,0,0
370.0,1326,501,75,0,0
371.0,1326,501,75,0,0
371.0,1337,505,75,0,0
372.0,1276,484,75,0,0
372.0,1291,489,75,0,0
373.0,1337,505,75,0,0
373.0,1349,509,75,0,0
374.0,1349,509,75,0,0
374.0,1361,513,75,0,0
375.0,1361,513,75,0,0
375.0,1370,516,75,0,0
376.0,1270,506,73,0,0
376.0,1291,489,73,0,0
377.0,1296,485,75,0,0
377.0,1311,478,75,0,0
377.0,1314,477,75,0,0
378.0,1291,489,75,0,0
378.0,1293,487,75,0,0
378.0,1296,485,75,0,0
379.0,1308,494,74,0,0
379.0,1319,482,74,0,0
380.0,1337,474,65,0,0
380.0,1347,484,65,0,0
381.0,1332,468,65,0,0
381.0,1337,474,65,0,0
382.0,1352,477,66,0,0
382.0,1350,479,66,0,0
382.0,1349,480,66,0,0
382.0,1349,480,66,0,0
382.0,1348,482,66,0,0
382.0,1348,483,66,0,0
382.0,1347,485,66,0,0
382.0,1347,486,66,0,0
382.0,1346,486,66,0,0
382.0,1345,487,66,0,0
382.0,1344,487,66,0,0
382.0,1343,487,66,0,0
382.0,1341,487,66,0,0
382.0,1335,481,66,0,0
